Age,Dx,Dx1y,Dx1y1,Dx1y1Prime,Dx1yPrime,DxPrime,Dxy,Dxy1,Dxy1Prime,DxyPrime,Dy,DyPrime,ETx,ETy,lx,lx1y,lx1y1,lxy,lxy1,ly,Mx,Nx,Nx1y,Nx1y1,Nx1y1Prime,Nx1yPrime,NxPrime,Nxy,Nxy1,Nxy1Prime,NxyPrime,Ny,NyPrime,qx,qy,Rx,vx,vxPrime,vy,vyPrime
93,0.00013547875045962187,6.591436912624133E-05,6.105120697210725E-05,0.00038504388281454646,0.0004157153622406624,0.0008544509879987927,6.105120697210725E-05,5.609281109545359E-05,0.00035377177378399723,0.00038504388281454646,0.00013547875045962187,0.0008544509879987927,4.152112277037714,4.152112277037714,0.1738923364242235,0.0846037006719142,0.0783616396363404,0.0783616396363404,0.07199734234999569,0.1738923364242235,9.744696935434697E-05,0.0005134199745848633,0.00020576669147566608,0.0001875326656650146,0.0012269082664472502,0.001347319939931837,0.003399828252551619,0.0001875326656650146,0.00016944654687205414,0.001107619372181767,0.0012269082664472502,0.0005134199745848633,0.003399828252551619,0.164442,0.164442,0.000384195144501777,0.0007790955785947416,0.0049136782308467864,0.0007790955785947416,0.0049136782308467864
94,0.00010481514238568586,4.7233170736296276E-05,4.339703430860651E-05,0.000279174789328331,0.0003038528023791591,0.0006742798387063899,4.339703430860651E-05,3.954680602771261E-05,0.000254406122844332,0.000279174789328331,0.00010481514238568586,0.0006742798387063899,3.8708662678565875,3.8708662678565875,0.14529713283795134,0.06547569489126129,0.06015795537927773,0.06015795537927773,0.0548206814200728,0.14529713283795134,7.681882427742E-05,0.0003779412241252415,0.00013985232234942476,0.00012648145869290734,0.0008418643836327037,0.0009316045776911746,0.0025453772645528264,0.00012648145869290734,0.00011335373577660056,0.0007538475983977697,0.0008418643836327037,0.0003779412241252415,0.0025453772645528264,0.179849,0.179849,0.0002867481751474301,0.0007213847949951311,0.004640696106910853,0.0007213847949951311,0.004640696106910853
95,7.959652207663208E-05,3.2955667671516604E-05,3.003180788003198E-05,0.00019705968960929618,0.0002162451780511744,0.0005222884348840575,3.003180788003198E-05,2.713800293632785E-05,0.00017807141203792355,0.00019705968960929618,7.959652207663208E-05,0.0005222884348840575,3.6100556700614734,3.6100556700614734,0.11916558879417863,0.04933860726227,0.04496123668735415,0.04496123668735415,0.04062886184263406,0.11916558879417863,5.93642885895281E-05,0.0002731260817395556,9.261915161312847E-05,8.308442438430085E-05,0.0005626895943043728,0.0006277517753120154,0.0018710974258464366,8.308442438430085E-05,7.380692974888795E-05,0.0004994414755534378,0.0005626895943043728,0.0002731260817395556,0.0018710974258464366,0.196001,0.196001,0.0002099293508700101,0.000667948884254751,0.004382879656526917,0.000667948884254751,0.004382879656526917
96,5.925511495656492E-05,2.2356984725683174E-05,2.0202710391485797E-05,0.00013521539069557417,0.0001496338048647298,0.00039659052494955024,2.0202710391485797E-05,1.809033519566243E-05,0.00012107740465983561,0.00013521539069557417,5.925511495656492E-05,0.00039659052494955024,3.3682332565854853,3.3682332565854853,0.09580901422493082,0.036148789335396045,0.03266556429261595,0.03266556429261595,0.029250085555744317,0.09580901422493082,4.491892014180405E-05,0.00019352955966292352,5.9663483941611856E-05,5.305261650426886E-05,0.0003656299046950766,0.000411506597260841,0.0013488089909623792,5.305261650426886E-05,4.6668926812560096E-05,0.0003213700635155142,0.0003656299046950766,0.00019352955966292352,0.0013488089909623792,0.213325,0.213325,0.00015056506228048203,0.0006184711891247694,0.004139386342275422,0.0006184711891247694,0.004139386342275422
97,4.3161590331903426E-05,1.4715710367798229E-05,1.3177050407451614E-05,8.995698023795529E-05,0.00010046109150458298,0.0002946551928138714,1.3177050407451614E-05,1.1678095038351952E-05,7.972392395098667E-05,8.995698023795529E-05,4.3161590331903426E-05,0.0002946551928138714,3.1460206013734835,3.1460206013734835,0.07537055626539746,0.025697182789893656,0.023010311054565167,0.023010311054565167,0.020392773120553098,0.07537055626539746,3.321466329170294E-05,0.0001342744447063586,3.730649921592868E-05,3.284990611278306E-05,0.00023041451399950243,0.0002618727923961112,0.0009522184660128289,3.284990611278306E-05,2.8578591616897666E-05,0.0002002926588556786,0.00023041451399950243,0.0001342744447063586,0.0009522184660128289,0.231936,0.231936,0.00010564614213867798,0.0005726585084488605,0.003909420434371231,0.0005726585084488605,0.003909420434371231
98,3.069524418211396E-05,9.371127818656405E-06,8.305115173645145E-06,5.7831238374074497E-05,6.525423373229129E-05,0.00021374104345709373,8.305115173645145E-06,7.272149863692682E-06,5.0638362438822226E-05,5.7831238374074497E-05,3.069524418211396E-05,0.00021374104345709373,2.945052237018639,2.945052237018639,0.05788941092742623,0.01767339154981354,0.0156629548940645,0.0156629548940645,0.013714843553205437,0.05788941092742623,2.394547198131373E-05,9.111285437445518E-05,2.259078884813045E-05,1.9672855705331446E-05,0.00014045753376154714,0.0001614117008915282,0.0006575632731989575,1.9672855705331446E-05,1.6900496578545717E-05,0.00012056873490469191,0.00014045753376154714,9.111285437445518E-05,0.0006575632731989575,0.251189,0.251189,7.243147884697505E-05,0.0005302393596748709,0.0036922304102394964,0.0005302393596748709,0.0036922304102394964
99,2.1282348603011973E-05,5.7582977761966615E-06,5.0420979736866495E-06,3.581197599305597E-05,4.089885258045526E-05,0.00015115988646480813,5.0420979736866495E-06,4.353665042653395E-06,3.0922316226892084E-05,3.581197599305597E-05,2.1282348603011973E-05,0.00015115988646480813,2.7652461529259584,2.7652461529259584,0.04334822768597696,0.011728592917179332,0.010269825715919318,0.010269825715919318,0.00886761452214484,0.04334822768597696,1.6806298193479452E-05,6.041761019234123E-05,1.3219661029474044E-05,1.1367740531686302E-05,8.262629538747265E-05,9.615746715923691E-05,0.00044382222974186374,1.1367740531686302E-05,9.628346714853034E-06,6.993037246586969E-05,8.262629538747265E-05,6.041761019234123E-05,0.00044382222974186374,0.270441,0.270441,4.8486006865661295E-05,0.0004909623700693249,0.003487106498559524,0.0004909623700693249,0.003487106498559524
100,1.4376600893022971E-05,3.4060258848007942E-06,2.940977328567748E-06,2.1306339987276544E-05,2.467545220498915E-05,0.00010415338585330236,2.940977328567748E-06,2.4999807191263424E-06,1.811147561252441E-05,2.1306339987276544E-05,1.4376600893022971E-05,0.00010415338585330236,2.604952653487872,2.604952653487872,0.031625089642353665,0.007492443779480383,0.0064694479831614695,0.0064694479831614695,0.0054993607275343895,0.031625089642353665,1.147702075038023E-05,3.9135261589329256E-05,7.461363253277383E-06,6.325642557999652E-06,4.681431939441668E-05,5.525861457878165E-05,0.0002926623432770556,6.325642557999652E-06,5.274681672199639E-06,3.90080562389776E-05,4.681431939441668E-05,3.9135261589329256E-05,0.0002926623432770556,0.289048,0.289048,3.1679708672181857E-05,0.0004545947871012266,0.0032933783597506616,0.0004545947871012266,0.0032933783597506616
101,9.4639566278671E-06,1.936012697870276E-06,1.6457095298373254E-06,1.2161034820249043E-05,1.4306241414043446E-05,6.993427698033385E-05,1.6457095298373254E-06,1.375085763331816E-06,1.016124993233765E-05,1.2161034820249043E-05,9.4639566278671E-06,6.993427698033385E-05,2.460752137258031,2.460752137258031,0.022483920731410624,0.004599466982524614,0.003909781507962029,0.003909781507962029,0.0032668492172297373,0.022483920731410624,7.629309884707541E-06,2.475866069630629E-05,4.055337368476589E-06,3.384665229431904E-06,2.550797940714013E-05,3.05831623737925E-05,0.00018850895742375328,3.384665229431904E-06,2.7747009530732966E-06,2.0896580626453192E-05,2.550797940714013E-05,2.475866069630629E-05,0.00018850895742375328,0.30675,0.30675,2.0202687921801633E-05,0.00042092109916780243,0.0031104128953200693,0.00042092109916780243,0.0031104128953200693
102,6.074896233582284E-06,1.056377899592339E-06,8.826650050275754E-07,6.652937264726793E-06,7.962268645296668E-06,4.578849654347107E-05,8.826650050275754E-07,7.239185865383708E-07,5.456413150602942E-06,6.652937264726793E-06,6.074896233582284E-06,4.578849654347107E-05,2.328347835929363,2.328347835929363,0.015586978047050414,0.002710456030394677,0.0022647432198445155,0.0022647432198445155,0.0018574314164986987,0.015586978047050414,4.941283314709177E-06,1.529470406843919E-05,2.1193246706063135E-06,1.7389556995945787E-06,1.334694458689109E-05,1.6276920959749056E-05,0.00011857468044341942,1.7389556995945787E-06,1.3996151897414808E-06,1.0735330694115544E-05,1.334694458689109E-05,1.529470406843919E-05,0.00011857468044341942,0.323976,0.323976,1.2573378037094085E-05,0.00038974175848870596,0.0029376121789133985,0.00038974175848870596,0.0029376121789133985
